text,correct,error,student number
"I think people are eating healthier than they used to. Because TV advertisements, news, SMS and magazines are hammer home nowadays foods are not good. So many food company making well-being foods and advertising. So people are interested in well-being food and they ate. 
 And people <e> are want </e> look like more and more healthier. Because our average life span <e> is extend </e> by approximately 100 years old. So they do exercise steadily and effort to eat healthy food. It is good phenomenon for ours.  I think we are want  more healthier. we are more effort to eat food healthier then we used to.",0,2,201334630
"Everyone will remain in memory because the color is diverse and visually. Just the color will be different for each people to accept their feelings and events. For example, for a person who is white, and the color of just the two of you give your love is happiness. Whereas someone who is white is the color that reminds sad things. And also except that happiness or sad. People can remain in memory color by accepting presents firstly, experiencing unexpectedly events. For example, I think a girl accept a pink teddy bear present by hers first boy friend. She can't forget that teddy bear's color was pink.",0,0,201334630
"The emotional development that children from the stomach through the voices and movements of the parents. So you have to tell a good language to children with scent, sound from the stomach when a child. Born and a time to grow that mimic the behavior and language of the parents the children. So if mother say orderly to her son. Son told his friends orderly. Then his friends are doesn't like to talk with him. So parents do very carefully motions, and use good language. And if your do not good for your children to learn. Parents must tell children that is not good things.",0,0,201334630
"I think the most interesting art is body art. How to express the work of art painted by the paint on the body is body art, but art <c> is also represented </c>  by objects or events such as the movement of the body is. This art is objective. So people can accept art's subject differently with body art supervision. But why I like body art. I can realize other people various thinking. So funny that I do not know the subject of artists looking to match the art. If you have free time. Look body art performance at once. Then you can understand my words.",1,0,201334630
"I think people <c> are born </c> with artistic talent. Because famous artists <c> are drawn and composited </c> very young age to learn about art. When <e> I was learn </e> about music lacture. That time a professor says ""people belive artsts <c> are already done </c> artists when <e> they born </e> before. For that example, Mozart attended and played every town along the father from the age of four. And Bach's family all the great composer. As such I think artistic ability <c> is innated </c>. But I think that is not matter who effort constantly to be a great artist.",4,1,201334630
"Last year, 1st semetary middle test. I'm must send my report to profassor's email until that day. It was a little put off write the report to study a lot of test. But more and more time came to submit. So the report <c> was written </c> only had 40 minutes faster. And I was only remain submit. But suddenly my laptop screen turned off. I had only 15 minuets so I was very confusion. I couldn't do anything. I pushed a on/off button but didn't work. And banged laptop but didn't work. So I remember that day I was little crying.",1,0,201334630
"I'm not worry about using the internet. Because I using only <c> to be used </c> to look up information. And dear sir send an e-mail or used only to send and receive mail with my friends. So I'm not telling me a lot of information on the Internet. Because I am worried about a lot of information leakage. I not want that. And of course, to solve a lot of things with my mobile phone app, not the Internet, because it is also a lot of danger to leakage. So continue to use the Internet <c> is to be avoided </c>.",2,0,201334630
"I would tell about truth if a cashier gave me too much change. If I take a little more level. I would keep that. However, if too much money was wrong. A cashier will fall into trouble. So if an incorrect amount <c> will be tailored </c> to the cashier. The Cashier to work to make money If so seems to be too heavy for despair.  Of course,  the cashier must know that the cashier is a mistake. But I also know that it is difficult to make money. So I do not want to give to the cashier such despair.",1,0,201334630
"My parents are not discriminated me and my brother a lot. But mom has come on a lot of upsets me about eat only chicken leg to my brother. So also gave a lot of grumbling. Another little brother and I grew up with discrimination much hates the mother and cried. But as I was growing up I hated my mom and solved a lot of misconceptions know things <c> are done </c> for me otherwise my brother. So these days, I am  very well with my mother. Rather, these days I go to eat a lot of delicious even go hang out with my mom without her brother.",1,0,201334630
I don't like to tell about my  boy friend. Because I am shy.,0,0,201334702
"when I am upset, I usually shout or sing .",0,0,201334702
Les Miserables!!! this movie is  'Jean Valjean' life story.,0,0,201334702
"I think that children <c> should not be allowed </c> to watch violent movies.
Because media is very powerful. Today media is easy accessible to children.   Therefore violent movies are negative for children.",1,0,201334702
I will have morning call services. Because schedule of guests is important. therefor morning call of hotel is essential.,0,0,201334702
It is best bother when crash halt driving. No driver's license because I do not drive. I usually had boarding bus is a bus stop a lot of the class. Too hard then I standing bus.,0,0,201334702
Change the hair style and eyebrow shaping. Becoming oneself to find a hair style and eyebrow shape. Hair style and eyebrow shape in appearance is very important. Hair style and significantly raise eyebrows even if only the shape changes.,0,0,201334702
